sector,final_demand_domestic,exports,imports_raw,imports,unskilled_labor,skilled_labor,productivity,INE_sector,shock_pct,covid_productivity,nominal_input,covid_input,delta
omf,105.56375999999997,199.2767200000027,47.8,47.8,11.64138,23.12218,257.0404800000027,manufacturing,0.8574974035282854,220.41154420166646,356.153309910638,311.96602455004654,-0.12
omn,0.00308,3627.745659999987,0.0,0.0,259.59641,348.46701,3627.748739999987,mining,0.2319557974749391,841.4773520254025,4585.466931434243,1418.6573878264546,-0.69
omt,621.19681,740.1369999999845,10.9,10.9,9.15645,18.18658,1350.4338099999845,ag,1.0296715250405295,1390.5032406089767,1625.4926428565236,1624.3496281391278,-0.0
osd,1.72381,954.0868199999921,199.0,199.0,229.15189,9.4598,756.8106299999921,ag,1.0296715250405295,779.2663555589758,1438.6803592307244,1469.4383862637867,0.02
osg,5113.78887,5588.507489999979,17.1,17.1,902.84521,2091.0735,10685.196359999978,public_services,1.0465670672688139,11182.774617676583,11679.999115114382,11965.59096585163,0.02
otn,7.899319999999999,22.30334999999975,1.48,1.48,0.17627,0.35012,28.72266999999975,transportation,0.5708669113755465,16.396821909358923,50.94938171152644,35.38785395666027,-0.31
otp,1602.48641,3270.426779999985,123.0,123.0,262.94168,580.01221,4749.913189999985,transportation,0.5708669113755465,2711.5682720772606,8051.343801587396,5333.899272743901,-0.34
p_c,742.3620599999999,2456.712769999981,242.0,242.0,1.32925,2.64017,2957.074829999981,energy,0.808671748499249,2391.3028732192042,6525.166109811855,5083.581376531297,-0.22
pcr,115.90186,139.5723200000023,0.707,0.707,1.14761,2.27939,254.7671800000023,ag,1.0296715250405295,262.32651076087745,309.1892340151621,312.1353981096695,0.01
pdr,0.15032,156.7289200000009,0.001,0.001,39.47352,1.62954,156.8782400000009,ag,1.0296715250405295,161.53305662647512,561.4366813692229,565.1277932570655,0.01
pfb,1.64781,10.60891999999993,0.014,0.014,1.38366,0.05712,12.24272999999993,ag,1.0296715250405295,12.60599046975937,29.18184536297629,27.84554687281372,-0.05
ppp,52.316100000000006,384.9241199999911,2.4,2.4,15.10282,29.9973,434.8402199999911,manufacturing,0.8574974035282854,372.8743595996608,1228.9505124425505,1035.0830004650752,-0.16
rmk,0.49709000000000003,115.0022500000012,0.002,0.002,25.11446,1.03677,115.4973400000012,ag,1.0296715250405295,118.92432221592578,351.543882720886,353.9522440825151,0.01
ros,125.61706000000001,132.86586,84.2,84.2,100.96069,18.82305,174.28292000000005,other_services,0.8423645303010104,146.8097500452886,174.76333577092484,147.21867815491225,-0.16
sgr,222.35424,292.8026200000042,19.1,19.1,12.5301,24.88735,496.0568600000041,ag,1.0296715250405295,510.7756235430207,660.4814887706335,661.0321519143704,0.0
tex,37.14848,108.1444800000024,16.5,16.5,6.319369999999999,12.55157,128.7929600000024,manufacturing,0.8574974035282854,110.43962879272439,201.85126610756703,174.77719424162729,-0.13
trd,1182.389,3961.170209999977,22.3,22.3,870.41852,62.23197,5121.2592099999765,commerce,0.6359701471637074,3256.967973447177,10826.214213887964,8161.440751569194,-0.25
v_f,739.9991899999999,1296.341039999994,287.0,287.0,373.11404,15.40282,1749.3402299999939,ag,1.0296715250405295,1801.2458224388442,2541.0675231205278,2558.087143912955,0.01
vol,376.80541999999997,1319.197199999976,1160.0,1160.0,4.54665,9.03059,536.0026199999759,ag,1.0296715250405295,551.9066351610945,665.11335646871,678.7651527333625,0.02
wap,186.99595,398.1065899999925,52.2,52.2,23.50678,46.68929,532.9025399999924,manufacturing,0.8574974035282854,456.9625443836218,909.0106252714938,787.1099207217895,-0.13
wht,0.07908,59.34789000000092,0.011,0.011,7.0377,0.29053,59.41597000000092,ag,1.0296715250405295,61.17893244166329,234.08239956679813,236.70422136389328,0.01
wol,20.4316,24.47900999999978,9.45,9.45,3.37761,0.13943,35.460609999999775,ag,1.0296715250405295,36.51278037756722,42.59016046084147,43.534487858193785,0.02
wtp,78.43342,199.6113800000018,19.3,19.3,13.41778,29.59773,258.74480000000176,transportation,0.5708669113755465,147.7088448104845,499.5907400994721,341.4637849906841,-0.32
wtr,109.92342,177.5778500000021,2.66,2.66,18.78826,15.52011,284.84127000000205,utilities,0.8385020678276276,238.83999389764932,436.15789310673665,367.5348363705742,-0.16
